line,schedule,map,en-update,en-reason,es-update,es-reason,hy-update,hy-reason,zh-tw-update,zh-tw-reason,ko-update,ko-reason,ja-update,ja-reason,ru-update,ru-reason,vi-update,vi-reason
4,004_TT_12-15-24.pdf,,Adjusted Saturday and Sunday schedules. Small number of weekdays trips discontinued in line with overall ridership.,For improved reliability better reflecting actual travel times. Savings reallocated to other improvements.,Se ajustaron los horarios de los sábados y domingos. Se suspendieron un pequeño número de viajes entre semana en consonancia con el número general de pasajeros.,"Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales. Ahorros reasignados a otras mejoras.",Ճշգրտվել են շաբաթ և կիրակի օրերի ժամանակացույցները։ Աշխատանքային օրերի փոքր թվով ուղևորություններ դադարեցվել են՝ հաշվի առնելով ուղոևորների ընդհանուր թիվը։,Բարելավված հուսալիության համար ավելի լավ են արտացոլվում ճամփորդության իրական ժամանակները։ Խնայողությունները վերաբաշխված են այլ բարելավումների համար։,週六、週日班次有所調整。因應整體乘客量，部分工作日班次取消。,以提高可靠性，更有效反映實際行程時間。節省的資金重新分配給其他改進。,"토요일, 일요일 일정이 조정되었습니다. 전체 승객 수에 맞춰 일부 평일 운행이 중단되었습니다.",실제 이동 시간을 더 정확히 반영하여 신뢰성을 개선합니다. 절감액을 다른 개선 사항에 재배치했습니다.,土日のスケジュールを調整しました。全体的な乗客数に合わせ、少数の平日の運行が廃止されました。,信頼性を向上させるため、実際の移動時間をより適切に反映させます。節約時間は他の改善に再配分されました。,Уточненное расписание на субботу и воскресенье. С учетом общего пассажиропотока было отменено небольшое количество рейсов в будние дни.,Для повышения надежности и более точного отражения фактического времени в пути. Сэкономленные средства были использованы на другие улучшения.,Đã điều chỉnh lịch trình Thứ Bảy và Chủ Nhật. Một số ít chuyến đi vào các ngày trong tuần bị hủy bỏ do lượng hành khách tổng thể.,Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế. Khoản tiết kiệm được phân bổ lại cho các hoạt động cải tiến khác.
10,010_TT_12-15-24.pdf,,"Adjusted Weekday, Saturday and Sunday schedules",For improved reliability better reflecting actual travel times,"Se ajustaron los horarios de los días laborables, sábados y domingos","Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales","Ճշգրտվել են աշխատանքային օրերի, շաբաթ և կիրակի օրերի ժամանակացույցները",Բարելավված հուսալիության համար ավելի լավ են արտացոլվում ճամփորդության իրական ժամանակները,已調整工作日、週六和週日時間表,以提高可靠性，更有效反映實際行程時間,"평일, 토요일, 일요일 일정 조정",실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日土日スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,"Уточненное расписание на субботу, воскресенье и будние дни",Для повышения надежности и более точного отражения фактического времени в пути,"Đã điều chỉnh lịch trình Các Ngày Trong Tuần, Thứ Bảy và Chủ Nhật",Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
14,014_TT_12-15-24.pdf,,Adjusted Weekday schedule. Added trips weekdays.,For improved reliability better reflecting actual travel times. Added trip to accomodate more riders.,Se ajustaron los horarios de los días laborables. Se agregaron viajes entre semana.,"Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales. Se agregó un viaje para acomodar a más pasajeros.",Ճշգրտվել են աշխատանքային օրերի ժամանակացույցները։ Ավելացվել են ուղևորություններ աշխատանքային օրերին:,Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները։ Ավելացվել է ուղևորություն՝ ավելի շատ ուղևորների սպասարկելու համար։,已調整工作日時間表。已新增工作日行程。,以提高可靠性，更有效反映實際行程時間。已新增行程以容納更多乘客。,평일 일정이 조정되었습니다. 평일 운행이 추가되었습니다.,실제 이동 시간을 더 정확히 반영하여 신뢰성을 개선합니다. 더 많은 승객을 수용하기 위해 운행이 추가되었습니다.,平日スケジュールを調整しました。平日の運行を追加しました。,信頼性を向上させるため、実際の移動時間をより適切に反映させます。より多くの利用者に対応するため、運行を追加しました。,Уточненное расписание на будние дни. Добавлены рейсы в будние дни.,"Для повышения надежности и более точного отражения фактического времени в пути. Добавлен рейс, чтобы обеспечить перевозку большего количества пассажиров.",Đã điều chỉnh lịch trình Các Ngày Trong Tuần. Đã tăng thêm chuyến đi vào các ngày trong tuần.,Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế. Đã tăng thêm chuyến đi để phục vụ nhiều hành khách hơn.
16,016_TT_12-15-24.pdf,,Timepoints added back to schedule weekdays and eastern end of Line relocated back to 5th and 6th/Los Angeles Sts in downtown LA,Due to conclusion of trial of Headway Based Operations on this line.,Se agregaron puntos de tiempo al horario de los días laborables y el extremo este de la línea se reubicó nuevamente en las calles 5th y 6th/Los Angeles en el centro de Los Ángeles,Debido a la conclusión de la prueba de las operaciones basadas en el intervalo de tiempo en esta línea.,"Ժամանակային հատվածները կրկին ավելացվել են աշխատանքային օրերի ժամանակացույցին, և Line-ի արևելյան ծայրը տեղափոխվել է 5-րդ և 6-րդ/Los Angeles St/downtown LA-ում։",Այս գծի վրա առաջնահերթության վրա հիմնված գործողությունների փորձի ավարտի պատճառով։,工作日時刻表重新加入時間點，路線東端重新調整回downtown LA的5th和6th/Los Angeles Sts。,由於此路線的班距運行試驗已經結束。,평일 운행 일정에 운행 시간대를 다시 추가하고 노선의 동쪽 종점이 DTLA의 5번가와 6번가/Los Angeles Sts로 다시 이전되었습니다.,이 노선의 Headway Based Operations 시범 운행이 종료되었습니다.,ダイヤが平日のスケジュールに戻され、路線の東端がdowntown LAの5thおよび6th/Los Angeles Stsに再配置されました,この路線における運転間隔に基づく運用試験終了のため。,"В расписание на будние дни были возвращены метки времени, а восточное окончание линии было перемещено обратно на улицы 5th Street и 6th Street / Los Angeles Street в downtown LA",В связи с окончанием пилотного проекта обслуживания с учетом интервалов на этой линии.,Các mốc thời gian được thêm lại vào lịch trình các ngày trong tuần và đầu phía đông của Line được chuyển lại về 5th Str và 6th Str/Los Angeles Str ở downtown LA,Do kết thúc thử nghiệm Hoạt Động Dựa Trên Khoảng Cách Giữa Các Chuyến trên tuyến này.
18,,,"Adjusted Weekday, Saturday and Sunday schedules",For improved reliability better reflecting actual travel times,"Se ajustaron los horarios de los días laborables, sábados y domingos","Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales","Ճշգրտվել են աշխատանքային օրերի, շաբաթ և կիրակի ժամանակացույցները",Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները,已調整工作日、週六和週日時間表,以提高可靠性，更有效反映實際行程時間,"평일, 토요일, 일요일 일정 조정",실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日土日スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,"Уточненное расписание на субботу, воскресенье и будние дни",Для повышения надежности и более точного отражения фактического времени в пути,"Đã điều chỉnh lịch trình Các Ngày Trong Tuần, Thứ Bảy và Chủ Nhật",Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
20,020_TT_12-15-24.pdf,,"Adjusted Weekday, Saturday and Sunday schedules. Small number of other trips discontinued in line with overall ridership.",For improved reliability better reflecting actual travel times. Savings reallocated to other improvements.,"Se ajustaron los horarios de los días laborables, sábados y domingos. Se suspendieron unos pocos viajes entre semana en línea con la cantidad general de pasajeros.","Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales. Ahorros reasignados a otras mejoras.","Ճշգրտվել են աշխատանքային օրերի, շաբաթ և կիրակի օրերի ժամանակացույցները։ Փոքր թվով այլ ուղևորություններ դադարեցվել են՝ ելնելով ընդհանուր շրջագայության թվից։",Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները։ Խնայողությունները վերաբաշխվել են այլ բարելավումների համար։,已調整工作日、週六和週日時間表。因應整體乘客量，少數其他路線取消。,以提高可靠性，更有效反映實際行程時間。節省的資金重新分配給其他改進。,"평일, 토요일, 일요일 일정이 조정되었습니다. 전체 승객 수에 맞춰 일부 다른 운행이 중단되었습니다.",실제 이동 시간을 더 정확히 반영하여 신뢰성을 개선합니다. 절감액을 다른 개선 사항에 재배치했습니다.,平日土日スケジュールを調整しました。全体的な乗客数に合わせ、その他少数の運行が廃止されました。,信頼性を向上させるため、実際の移動時間をより適切に反映させます。節約時間は他の改善に再配分されました。,"Уточненное расписание на субботу, воскресенье и будние дни. С учетом общего пассажиропотока было отменено небольшое количество других рейсов.",Для повышения надежности и более точного отражения фактического времени в пути. Сэкономленные средства были использованы на другие улучшения.,"Đã điều chỉnh lịch trình Các Ngày Trong Tuần, Thứ Bảy và Chủ Nhật. Một số ít chuyến đi khác bị hủy bỏ do lượng hành khách tổng thể.",Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế. Khoản tiết kiệm được phân bổ lại cho các hoạt động cải tiến khác.
33,033_TT_12-15-24.pdf,,"Adjusted Weekday, Saturday and Sunday schedules. Added trip weekdays AM peak westbound with small number of other trips discontinued in line with overall ridership.",For improved reliability better reflecting actual travel times. Added trip to accomodate more riders. Savings reallocated to other improvements.,"Se ajustaron los horarios de los días laborables, sábados y domingos. Se agregaron viajes entre semana en la hora pico de la mañana en dirección oeste y se suspendieron unos pocos viajes entre semana en línea con la cantidad general de pasajeros.","Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales. Se agregó un viaje para acomodar a más pasajeros. Ahorros reasignados a otras mejoras.","Ճշգրտվել են աշխատանքային օրերի, շաբաթ և կիրակի օրերի ժամանակացույցները։ Աշխատանքային օրերի առավոտյան պիկ ժամերի ուղևորությունները դեպի արևմուտք ավելացվել են, և մի փոքր թվով այլ ուղևորություններ չեղարկվել են՝ հաշվի առնելով ուղևորների ընդհանուր թիվը։",Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները։ Ավելացվել է ուղևորություն՝ ավելի շատ ուղևորներ տեղավորելու համար: Խնայողությունները վերաբաշխվել են այլ բարելավումների համար։,已調整工作日、週六和週日時間表。已新增工作日早上尖峰時段往西的班次，並根據整體乘客量調整，取消少量其他班次。,以提高可靠性，更有效反映實際行程時間。已新增行程以容納更多乘客。節省的資金重新分配給其他改進。,"평일, 토요일, 일요일 일정이 조정되었습니다. 전체 승객 수에 따라 중단된 일부 다른 운행과 함께 평일 오전 혼잡 시간대에 서쪽으로 향하는 운행이 추가되었습니다.",실제 이동 시간을 더 정확히 반영하여 신뢰성을 개선합니다. 더 많은 승객을 수용하기 위해 운행이 추가되었습니다. 절감액을 다른 개선 사항에 재배치했습니다.,平日土日スケジュールを調整しました。平日午前中のピーク時の西行き運行を追加し、全体的な乗客数に合わせてその他少数の運行が廃止されました。,信頼性を向上させるため、実際の移動時間をより適切に反映させます。より多くの利用者に対応するため、運行を追加しました。節約時間は他の改善に再配分されました。,"Уточненное расписание на субботу, воскресенье и будние дни. Были добавлены рейсы по будням в утренний час пик в западном направлении, а также с учетом общего пассажиропотока было отменено небольшое количество других рейсов.","Для повышения надежности и более точного отражения фактического времени в пути. Был добавлен рейс, чтобы обеспечить перевозку большего количества пассажиров. Сэкономленные средства были использованы на другие улучшения.","Đã điều chỉnh lịch trình Các Ngày Trong Tuần, Thứ Bảy và Chủ Nhật. Đã tăng thêm chuyến đi vào các ngày trong tuần vào giờ cao điểm buổi sáng về phía tây với một số ít chuyến đi khác bị hủy bỏ do lượng hành khách tổng thể.",Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế. Đã tăng thêm chuyến đi để phục vụ nhiều hành khách hơn. Khoản tiết kiệm được phân bổ lại cho các hoạt động cải tiến khác.
37,037_TT_12-15-24.pdf,,Adjusted Weekday schedule,For improved reliability better reflecting actual travel times,Se ajustaron los horarios de los días laborables,"Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales",Ճշգրտվել է աշխատանքային օրերի գրաֆիկը։,Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները,已調整工作日時間表,以提高可靠性，更有效反映實際行程時間,평일 일정 조정,실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,Уточненное расписание на будние дни,Для повышения надежности и более точного отражения фактического времени в пути,Đã điều chỉnh lịch trình Các Ngày Trong Tuần,Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
40,040_TT_12-15-24.pdf,,Discontinued small number of trips in line with ridership levels.,Savings reallocated to other improvements.,Se suspendieron unos pocos viajes en línea con los niveles de pasajeros.,Ahorros reasignados a otras mejoras.,Ուղևորափոխադրումների մակարդակին համապատասխան դադարեցվել են ուղևորությունների մի փոքր մասը։,Խնայողությունները վերաբաշխված են այլ բարելավումների համար։,根據乘客量調整，取消少量班次。,節省的資金重新分配給其他改進。,승객 수에 맞춰 일부 운행을 중단했습니다.,절감액을 다른 개선 사항에 재배치했습니다.,利用者数に合わせ、少数の運行を廃止しました。,節約時間は他の改善に再配分されました。,С учетом уровня пассажиропотока было отменено небольшое количество рейсов.,Сэкономленные средства были использованы на другие улучшения.,Đã hủy bỏ một số ít chuyến đi khác do lượng hành khách.,Khoản tiết kiệm được phân bổ lại cho các hoạt động cải tiến khác.
45,045_TT_12-15-24.pdf,,"Adjusted Weekday, Saturday and Sunday schedules",For improved reliability better reflecting actual travel times,"Se ajustaron los horarios de los días laborables, sábados y domingos","Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales","Ճշգրտվել են աշխատանքային օրերի, շաբաթ և կիրակի օրերի ժամանակացույցները",Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները,已調整工作日、週六和週日時間表,以提高可靠性，更有效反映實際行程時間,"평일, 토요일, 일요일 일정 조정",실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日土日スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,"Уточненное расписание на субботу, воскресенье и будние дни",Для повышения надежности и более точного отражения фактического времени в пути,"Đã điều chỉnh lịch trình Các Ngày Trong Tuần, Thứ Bảy và Chủ Nhật",Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
48,048_TT_12-15-24.pdf,,"Adjusted Weekday, Saturday and Sunday schedules",For improved reliability better reflecting actual travel times,"Se ajustaron los horarios de los días laborables, sábados y domingos","Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales","Ճշգրտվել են աշխատանքային օրերի, շաբաթ և կիրակի օրերի ժամանակացույցները",Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները,已調整工作日、週六和週日時間表,以提高可靠性，更有效反映實際行程時間,"평일, 토요일, 일요일 일정 조정",실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日土日スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,"Уточненное расписание на субботу, воскресенье и будние дни",Для повышения надежности и более точного отражения фактического времени в пути,"Đã điều chỉnh lịch trình Các Ngày Trong Tuần, Thứ Bảy và Chủ Nhật",Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
55,055_TT_12-15-24.pdf,,Adjusted Weekday schedule. Added trip weekdays.,For improved reliability better reflecting actual travel times. Trip added to accomodate extra passengers.,Se ajustaron los horarios de los días laborables. Se agregaron viajes entre semana.,"Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales. Se agregó un viaje para acomodar a más pasajeros.",Ճշգրտվել է աշխատանքային օրերի գրաֆիկը։ Ավելացվել է ուղևորություն աշխատանքային օրերին։,Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները։ Ուղևորությունն ավելացվել է՝ լրացուցիչ ուղևորներ տեղավորելու համար։,已調整工作日時間表。已新增工作日行程。,以提高可靠性，更有效反映實際行程時間。已新增班次以容納更多乘客。,평일 일정이 조정되었습니다. 평일 운행이 추가되었습니다.,실제 이동 시간을 더 정확히 반영하여 신뢰성을 개선합니다. 더 많은 승객을 수용하기 위해 운행이 추가되었습니다.,平日スケジュールを調整しました。平日の運行を追加しました。,信頼性を向上させるため、実際の移動時間をより適切に反映させます。追加の乗客数に対応するため、運行を追加しました。,Уточненное расписание на будние дни. Добавлен рейс в будние дни.,Для повышения надежности и более точного отражения фактического времени в пути. Добавлен рейс для перевозки большего количества пассажиров.,Đã điều chỉnh lịch trình Các Ngày Trong Tuần. Đã tăng thêm chuyến đi vào các ngày trong tuần.,Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế. Chuyến đi được tăng thêm để phục vụ thêm nhiều hành khách.
60,060_TT_12-15-24.pdf,,"Adjusted Weekday, Saturday and Sunday schedules",For improved reliability better reflecting actual travel times,"Se ajustaron los horarios de los días laborables, sábados y domingos","Para mejorar la confiabilidad, reflejar mejor los tiempos de viaje reales","Ճշգրտվել են աշխատանքային օրերի, շաբաթ և կիրակի օրերի ժամանակացույցները",Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները,已調整工作日、週六和週日時間表,以提高可靠性，更有效反映實際行程時間,"평일, 토요일, 일요일 일정 조정",실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日土日スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,"Уточненное расписание на субботу, воскресенье и будние дни",Для повышения надежности и более точного отражения фактического времени в пути,"Đã điều chỉnh lịch trình Các Ngày Trong Tuần, Thứ Bảy và Chủ Nhật",Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
62,062_TT_12-15-24.pdf,,Added trip Saturday.,To accomodate extra passengers.,Se agregó viaje los sábados.,Para acomodar a más pasajeros.,Ավելացվել է ուղևորություն շաբաթ օրը:,Լրացուցիչ ուղևորներ տեղավորելու համար։,週六已新增班次。,以容納更多乘客。,토요일 운행이 추가되었습니다.,더 많은 승객을 수용하기 위한 조치입니다.,土曜の運行を追加しました。,追加の乗客数に対応するため。,Добавлен рейс в субботу.,Для перевозки большего количества пассажиров.,Đã tăng thêm chuyến đi vào Thứ Bảy.,Chuyến đi được tăng thểm để phục vụ thêm nhiều hành khách.
76,076_TT_12-15-24.pdf,,Adjusted Weekday and Saturday schedules,For improved reliability better reflecting actual travel times,Horarios ajustados de los días laborables y sábados,Para mejorar la confiabilidad y reflejar mejor los tiempos de viaje reales,Ճշգրտվել է ժամանակացույցը աշխատանքային և շաբաթ օրերի համար։,Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները,已調整工作日及週六時刻表,以提高可靠性，更有效反映實際行程時間,평일 및 토요일 일정 조정,실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日土曜スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,Уточненное расписание на субботу и будние дни,Для повышения надежности и более точного отражения фактического времени в пути,Đã điều chỉnh lịch trình Các Ngày Trong Tuần và Thứ Bảy,Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
81,081_TT_12-15-24.pdf,,"Adjusted Weekday, Saturday and Sunday schedules",For improved reliability better reflecting actual travel times,"Horarios ajustados de los días laborables, sábados y domingos",Para mejorar la confiabilidad y reflejar mejor los tiempos de viaje reales,"Ճշգրտվել են աշխատանքային օրերի, շաբաթ և կիրակի օրերի ժամանակացույցները",Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները,已調整工作日、週六和週日時間表,以提高可靠性，更有效反映實際行程時間,"평일, 토요일, 일요일 일정 조정",실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日土日スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,"Уточненное расписание на субботу, воскресенье и будние дни",Для повышения надежности и более точного отражения фактического времени в пути,"Đã điều chỉnh lịch trình Các Ngày Trong Tuần, Thứ Bảy và Chủ Nhật",Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
90,090_TT_12-15-24.pdf,,Adjusted Weekday schedule,For improved reliability better reflecting actual travel times,Horario ajustado de los días laborables,Para mejorar la confiabilidad y reflejar mejor los tiempos de viaje reales,Ճշգրտվել է աշխատանքային օրերի գրաֆիկը,Բարելավված հուսալիության համար ավելի լավ են արտացոլվել ճամփորդության իրական ժամանակները,已調整工作日時間表,以提高可靠性，更有效反映實際行程時間,평일 일정 조정,실제 이동 시간을 더 정확히 반영하여 신뢰성 개선,平日スケジュールの調整,信頼性を向上させるため、実際の移動時間をより適切に反映,Уточненное расписание на будние дни,Для повышения надежности и более точного отражения фактического времени в пути,Đã điều chỉnh lịch trình Các Ngày Trong Tuần,Để cải thiện độ tin cậy nhằm phù hợp hơn với thời gian di chuyển thực tế
96,296_TT_12-15-24.pdf,,Rerouted to terminate at Lincoln/Cypress A Line Station. The line will be renumbered 296.,"Improved access to the A Line light rail service between Azusa, Pasadena, downtown LA, and Long Beach.",Redireccionado para terminar en la estación Lincoln/Cypress de Metro A Line. La línea pasará a ser la 296.,"Mejor acceso al servicio de tren ligero de Metro A Line entre Azusa, Pasadena, el centro de Los Angeles y Long Beach.",Վերափոխված է՝ երթուղին ավարտելու համար Lincoln/Cypress A Line Station-ում։ Գիծը վերահամարակալվելու է 296-ի։,"Բարելավված մուտք դեպի A Line թեթև երկաթուղային ծառայություն Azusa, Pasadena, downtown LA և Long Beach-ի միջև։",改道，以Lincoln/Cypress Line A車站為終點站。該路線將重新編號為Line 296。,改善Azusa、Pasadena、downtown LA和Long Beach之間Line A輕軌服務的通行。,Lincoln/Cypress A Line 역에서 종료되도록 경로가 변경되었습니다. 노선 번호가 296으로 변경됩니다.,"Azusa, Pasadena, DTLA 및 Long Beach 간 A Line 경전철 서비스의 접근성이 개선되었습니다.",Lincoln/Cypress A Line Stationが終点となるよう、ルートを変更しました。この路線の番号は296に変更されます。,Azusa、Pasadena、Downtown LA、Long Beach間のA Lineライトレールサービスへのアクセスが向上されました。,Изменен маршрут для переноса конечной остановки на станцию Lincoln/Cypress Station линии Line A. Линия получит номер 296.,"Улучшен доступ к легкорельсовому транспорту линии Line A между Azusa, Pasadena, downtown LA и Long Beach.",Thay đổi lộ trình để kết thúc tại Lincoln/Cypress A Line Station. Đã đặt lại số cho tuyến này là 296.,"Đã cải thiện khả năng tiếp cận dịch vụ đường sắt hạng nhẹ A Line giữa Azusa, Pasadena, downtown LA và Long Beach."
